# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
2025-01-25 00:13:01,Class A,265036400,57.561877,11.783227,Under way using engine,,19.7,282.4,283.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:13:25,Class A,265036400,57.562493,11.779368,Under way using engine,,19.4,284.6,283.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:13:32,Class A,265036400,57.562692,11.778073,Under way using engine,0.0,19.8,287.0,286.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:13:36,Class A,265036400,57.562808,11.77743,Under way using engine,0.0,19.7,289.9,289.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:13:52,Class A,265036400,57.563302,11.774877,Under way using engine,0.0,19.7,288.7,286.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:14:34,Class A,265036400,57.564318,11.768027,Under way using engine,0.0,19.6,284.2,283.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:15:51,Class A,265036400,57.566218,11.755487,Under way using engine,,20.4,293.5,291.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:16:08,Class A,265036400,57.566695,11.752783,Under way using engine,0.0,20.6,289.7,288.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:16:11,Class A,265036400,57.566762,11.752455,Under way using engine,0.0,19.1,290.4,287.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
2025-01-25 00:16:13,Class A,265036400,57.56682,11.752135,Under way using engine,0.0,19.5,287.1,286.0,,SFE4956,PILOT 220 SE,Pilot,,6.0,18.0,Internal,1.5,SEGOT,,AIS,13.0,5.0,4.0,2.0
