# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
25/01/2025 00:03:14,Class A,210545000,53.970377,8.513613,Under way using engine,0.0,8.6,100.9,102,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:03:34,Class A,210545000,53.97022,8.515013,Under way using engine,0.0,8.7,100.6,102,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:08:14,Class A,210545000,53.968048,8.53396,Under way using engine,0.0,8.9,101.3,101,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:09:44,Class A,210545000,53.967372,8.540192,Under way using engine,0.0,8.8,100.2,102,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:14:24,Class A,210545000,53.965425,8.559112,Under way using engine,0.0,8.7,100.7,103,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:15:04,Class A,210545000,53.965113,8.561715,Under way using engine,0.0,8.6,100.9,103,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:15:14,Class A,210545000,53.96502,8.562438,Under way using engine,,8.6,101.7,104,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:17:43,Class A,210545000,53.963653,8.572098,Under way using engine,0.0,8.6,103.5,105,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:17:54,Class A,210545000,53.96355,8.572813,Under way using engine,0.0,8.6,103.5,105,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:18:14,Class A,210545000,53.963368,8.574125,Under way using engine,0.0,8.6,103.2,105,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 00:20:03,Class A,210545000,53.962407,8.58125,Under way using engine,,8.5,102.9,106,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 04:34:33,Class A,210545000,53.906587,9.168487,Under way using engine,0.0,6.7,46.6,47,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 04:36:33,Class A,210545000,53.908998,9.173015,Under way using engine,0.0,6.6,47.9,48,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 04:37:33,Class A,210545000,53.91022,9.175412,Under way using engine,0.0,6.8,49.7,50,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 04:44:54,Class A,210545000,53.919448,9.192882,Under way using engine,0.0,6.6,45.1,45,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 05:27:43,Class A,210545000,53.981033,9.277093,Under way using engine,0.0,6.7,38.3,38,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 05:28:14,Class A,210545000,53.981818,9.278123,Under way using engine,0.0,6.7,36.3,36,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 05:28:43,Class A,210545000,53.98255,9.279003,Under way using engine,0.0,6.7,34.6,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 05:28:54,Class A,210545000,53.982835,9.279343,Under way using engine,0.0,6.7,34.4,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 05:29:04,Class A,210545000,53.983093,9.279657,Under way using engine,0.0,6.7,34.4,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
25/01/2025 05:29:14,Class A,210545000,53.983348,9.27996,Under way using engine,0.0,6.7,34.5,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
